FIPS Code,state/area,year,Civilian non-institutional population,CLF-Total,CLF-Pecent of population,Employment-Total,Employment-Percent of population,Unemployment-Total,Unemployment-Rate
20,Kansas,2001,"2,014,868   ","1,400,280   ",69.5   ,"1,340,173   ",66.5   ,"60,107   ",4.3   
21,Kentucky,2001,"3,105,427   ","1,950,605   ",62.8   ,"1,849,722   ",59.6   ,"100,883   ",5.2   
22,Louisiana,2001,"3,298,906   ","2,029,075   ",61.5   ,"1,915,287   ",58.1   ,"113,788   ",5.6   
23,Maine,2001,"1,005,599   ","675,811   ",67.2   ,"650,462   ",64.7   ,"25,349   ",3.8   
24,Maryland,2001,"4,055,923   ","2,841,946   ",70.1   ,"2,724,414   ",67.2   ,"117,532   ",4.1   
25,Massachusetts,2001,"4,966,979   ","3,381,587   ",68.1   ,"3,252,970   ",65.5   ,"128,617   ",3.8   
26,Michigan,2001,"7,566,073   ","5,133,170   ",67.8   ,"4,867,509   ",64.3   ,"265,661   ",5.2   
27,Minnesota,2001,"3,780,379   ","2,848,579   ",75.4   ,"2,742,059   ",72.5   ,"106,520   ",3.7   
28,Mississippi,2001,"2,106,532   ","1,294,114   ",61.4   ,"1,223,497   ",58.1   ,"70,617   ",5.5   
29,Missouri,2001,"4,270,862   ","2,982,517   ",69.8   ,"2,847,434   ",66.7   ,"135,083   ",4.5   
30,Montana,2001,"693,797   ","465,620   ",67.1   ,"444,076   ",64.0   ,"21,544   ",4.6   
31,Nebraska,2001,"1,292,693   ","947,999   ",73.3   ,"918,106   ",71.0   ,"29,893   ",3.2   
32,Nevada,2001,"1,585,390   ","1,116,298   ",70.4   ,"1,059,075   ",66.8   ,"57,223   ",5.1   
33,New Hampshire,2001,"964,350   ","691,565   ",71.7   ,"667,961   ",69.3   ,"23,604   ",3.4   
34,New Jersey,2001,"6,496,390   ","4,294,647   ",66.1   ,"4,113,262   ",63.3   ,"181,385   ",4.2   
35,New Mexico,2001,"1,356,803   ","859,065   ",63.3   ,"816,418   ",60.2   ,"42,647   ",5.0   
36,New York,2001,"14,633,659   ","9,119,704   ",62.3   ,"8,675,316   ",59.3   ,"444,388   ",4.9   
51000,New York city,2001,"6,237,494   ","3,643,793   ",58.4   ,"3,423,020   ",54.9   ,"220,773   ",6.1   
37,North Carolina,2001,"6,214,634   ","4,193,892   ",67.5   ,"3,964,143   ",63.8   ,"229,749   ",5.5   
